Fold_Number,Cases,LIME_Fidelity_Mean,LIME_Fidelity_SD,LIME_Fidelity_Median,DiCE_Stability_Mean,DiCE_Stability_SD,DiCE_Stability_Median,Generated_Counterfactuals
1,1849,0.43206336375188387,0.10288688267977442,0.4331697673396321,0.6552190373174689,0.2197774374459764,0.6666666666666666,5545
2,1840,0.442967525202433,0.10711523068961434,0.4444007004460613,0.6657910628019323,0.22058693421048842,0.6666666666666666,5519
3,1976,0.43635885788167905,0.10387696570490301,0.4336837213721393,0.6503433524710119,0.21354776756791677,0.6666666666666666,5923
