Model,Brier_Score,Log_Loss,Mean_Predicted_Probability,Observed_Outcome_Frequency,Mean_Probability_Minus_Observed_Frequency,Calibration_Intercept,Calibration_Slope,Expected_Calibration_Error_10_Quantile_Bins
Baseline,0.16619385832910513,0.5024940265599183,0.5043183153925556,0.513249348392702,-0.008931033000146416,0.05200852857894702,1.0109947676325106,0.009641889622074412
M1-Interactions,0.16577314060287024,0.5014673434376151,0.5046308491711989,0.513249348392702,-0.00861849922150304,0.04963651463258695,1.0143276114418922,0.008998814694273301
M2-Mild,0.16648839154494113,0.5033641040019203,0.512635117530898,0.513249348392702,-0.0006142308618040104,-0.0034442872273895905,1.0399539703169283,0.009421576824231871
M2-Balanced,0.16650678800046026,0.5033966250401578,0.5171033518620944,0.513249348392702,0.003854003469392464,-0.03462909838249855,1.0599628218060066,0.01011807654142267
M2-High,0.16686161666797766,0.5042653349750319,0.5216623958220564,0.513249348392702,0.008413047429354448,-0.06629585881668425,1.0777645444781814,0.014402499603066882
M3-Mild,0.16600625083119747,0.5020146469874947,0.5127247417622944,0.513249348392702,-0.0005246066304075425,-0.00545260332623958,1.0474337911813272,0.009138578385225103
M3-Balanced,0.16631066230448244,0.5029151853689335,0.5171461737679361,0.513249348392702,0.0038968253752341697,-0.03574946170637015,1.0632551936268138,0.01236708833396701
M3-High,0.16681084837477855,0.5042649688813199,0.5216253582762345,0.513249348392702,0.008376009883532487,-0.06655126484048038,1.0792101512300922,0.01546569201633473
