Model,Scope,Threshold,TN,FP,FN,TP,Accuracy,Recall,Specificity,Precision,F1,AUC,Average_Precision,Kappa,MCC,Brier
Jose-LightGBM,OOF,0.5,18905,8332,5693,22315,0.746130871572088,0.7967366466723793,0.6940925946323017,0.7281299964107417,0.7608899497059074,0.8228775880827383,0.800592919807276,0.49148468047106186,0.4937501375080362,0.17027080737825812
Jose-LightGBM,Test,0.5,4761,1962,1432,5657,0.7542716478424558,0.7979968966003668,0.7081659973226239,0.7424858905368159,0.7692412292629861,0.8306976383877017,0.8122460820143297,0.507195070252721,0.5087036122190746,0.16629704532384815
Pang-MARS,OOF,0.5,19062,8175,5946,22062,0.7443931577518328,0.7877035132819195,0.6998568124242758,0.729635876575057,0.7575585887200618,0.8201975558895226,0.7980243619955338,0.4881101335182464,0.48971139819752235,0.1716006653907125
Pang-MARS,Test,0.5,4807,1916,1473,5616,0.7546336518969012,0.792213288192975,0.7150081808716346,0.745618693574084,0.7682101087476917,0.8282201285720512,0.8077320718464054,0.5080857276927929,0.5091393852238123,0.16737957623695837
