"Configuration_ID","Mean_OOF_AUC","Mean_OOF_F1","Mean_OOF_Recall","SD_OOF_AUC"
"MARS_01",0.815973882762998,0.751042233700323,0.773350471293916,0.00597945058517833
"MARS_02",0.815939334863147,0.751326781821136,0.773778920308483,0.00593173824005516
"MARS_03",0.819415832805814,0.754419073713596,0.776206798057698,0.00597524381657195
"MARS_04",0.819380030406242,0.754391552163285,0.77631391031134,0.00592656293749727
"MARS_05",0.819415832805814,0.754419073713596,0.776206798057698,0.00597524381657195
"MARS_06",0.819380030406242,0.754391552163285,0.77631391031134,0.00592656293749727
"MARS_07",0.819415832805814,0.754419073713596,0.776206798057698,0.00597524381657195
"MARS_08",0.819380030406242,0.754391552163285,0.77631391031134,0.00592656293749727
"MARS_09",0.819415832805814,0.754419073713596,0.776206798057698,0.00597524381657195
"MARS_10",0.819380030406242,0.754391552163285,0.77631391031134,0.00592656293749727
"MARS_11",0.815249796535089,0.750558329935167,0.77317195087118,0.00595920858287461
"MARS_12",0.815215248635238,0.75084287805598,0.773600399885747,0.00590498172788822
"MARS_13",0.819786215000205,0.755746493525232,0.782633533276207,0.00556523622811531
"MARS_14",0.81976168343512,0.755797528813658,0.782740645529849,0.00553166907284063
"MARS_15",0.820277481416966,0.757529721796545,0.787703513281919,0.00590531813230873
"MARS_16",0.820223923323844,0.757317530867836,0.787346472436447,0.00582859887805255
"MARS_17",0.820277481416966,0.757529721796545,0.787703513281919,0.00590531813230873
"MARS_18",0.820223923323844,0.757317530867836,0.787346472436447,0.00582859887805255
"MARS_19",0.820277481416966,0.757529721796545,0.787703513281919,0.00590531813230873
"MARS_20",0.820223923323844,0.757317530867836,0.787346472436447,0.00582859887805255
