Fold,Validation_Rows,TN,FP,FN,TP,Accuracy,Precision,Recall,F1
1,18415,6322,2757,1858,7478,0.74938908498506651,0.73063019052271616,0.80098543273350475,0.76419191661131269
2,18415,6271,2808,1849,7487,0.74710833559598155,0.72724623603691108,0.80194944301628102,0.76277316489226221
3,18415,6263,2816,1991,7345,0.73896280206353515,0.72286192303907093,0.78673950299914308,0.75344924860234908
