Model,TP,TN,FP,FN,Accuracy,AUC,Recall,Precision,F1,Kappa,MCC
Baseline,22310,18856,8381,5698,0.7451534075481944,0.8212807751066398,0.796558126249643,0.7269232022416995,0.7601492359324691,0.4895153947794959,0.4918482907675466
M1-Interactions,22360,18797,8440,5648,0.7449904968775455,0.8219152111402469,0.7983433304770066,0.7259740259740259,0.760440756359679,0.48916089129323015,0.4916871416946889
M2-Mild,22670,18495,8742,5338,0.7451353063625668,0.8213048557334759,0.809411596686661,0.7216987138673119,0.7630427465499832,0.489292807613121,0.49306554969678873
M2-Balanced,22868,18300,8937,5140,0.7451896099194497,0.8209536829841398,0.8164810054270208,0.7190064455274328,0.7646498252888169,0.4893000241423532,0.4940095047134507
M2-High,23067,18098,9139,4941,0.7451353063625668,0.8205886360184493,0.8235861182519281,0.7162330000621002,0.7661673364998173,0.4890874561566564,0.4948626824844353
M3-Mild,22704,18445,8792,5304,0.7448456873925242,0.8210618360661817,0.8106255355612683,0.7208534417068834,0.7631083624630277,0.4886907168216331,0.49264971503007676
M3-Balanced,22921,18214,9023,5087,0.744592270793737,0.8208677962890026,0.8183733219080263,0.7175369396443777,0.7646450493728316,0.4880667875656276,0.49312081247482004
M3-High,23098,18024,9213,4910,0.7443569553805774,0.8208208410329727,0.8246929448728935,0.7148649066881247,0.7658615030090021,0.4874998894747862,0.49355404038040457
