Model,Training_Samples,Test_Samples,Weight_Level,Weighted_Training_Samples,Mean_Training_Weight,Maximum_Training_Weight,TN,FP,FN,TP,Accuracy,AUC,Recall,Precision,F1,Kappa,MCC,Delta_Accuracy,Delta_AUC,Delta_Recall,Delta_Precision,Delta_F1,Delta_Kappa,Delta_MCC,FN_Reduction,FP_Increase,Relative_FN_Reduction_Percentage,Relative_FP_Increase_Percentage,Rank_by_F1,Rank_by_Recall,Rank_by_FN_Reduction
M3-Balanced,55245,13812,Balanced,7174,1.023254593175853,1.25,4613,2110,1245,5844,0.75709527946713007,0.83074918126763242,0.82437579348286072,0.73472466683429716,0.77697267832214323,0.51222911863088849,0.51632834862788812,0.0013032145960034658,-0.00021005323467837567,0.024262942587106706,-0.0088516310157290556,0.0061634101288973175,0.0020018322846586667,0.0045311749079607333,172,154,12.138320395201131,7.8732106339468295,1,3,3
M3-High,55245,13812,High,7174,1.0316354421214589,1.3500000000000001,4561,2162,1221,5868,0.75506805676223576,0.82994405063921672,0.82776132035548033,0.73075965130759646,0.77624181493485023,0.50801425328926919,0.51283905123461859,-0.000724008108890839,-0.0010151838630940713,0.027648469459726321,-0.012816646542429755,0.0054325467416043161,-0.0022130330569606338,0.0010418775146912029,196,206,13.832039520112914,10.531697341513292,2,1,1
M2-Balanced,55245,13812,Balanced,7174,1.023254593175853,1.25,4621,2102,1265,5824,0.75622646973646102,0.83023566185243791,0.82155452108901117,0.73479687105727987,0.77575757575757576,0.51053728256300823,0.51435898320007956,0.00043440486533441458,-0.00072357264987288339,0.021441670193257156,-0.0087794267927463476,0.0049483075643298458,0.00030999621677840761,0.0025618094801521663,152,146,10.726887791107975,7.4642126789366046,3,4,4
M2-High,55245,13812,High,7174,1.0316354421214589,1.3500000000000001,4567,2156,1240,5849,0.75412684622067772,0.82980765556859182,0.82508111158132313,0.73066833229231731,0.77500993772359883,0.50617125482444636,0.51072220778395572,-0.0016652186504488853,-0.0011515789337189775,0.024968260685569121,-0.0129079655577089,0.0042006695303529185,-0.0040560315217834653,-0.0010749659359716723,177,200,12.491178546224418,10.224948875255624,4,2,2
M3-Mild,55245,13812,Mild,7174,1.0148737442302471,1.1499999999999999,4677,2046,1312,5777,0.75687807703446275,0.83121475625757113,0.81492453096346451,0.73846350504921388,0.77481223175965663,0.51203922565006543,0.51497686686362532,0.0010860121633361475,0.00025552175526033505,0.014811680067710498,-0.005112792800812338,0.0040029635664107222,0.001811939303835608,0.0031796931436979259,105,90,7.4100211714890616,4.6012269938650308,5,5,5
M2-Mild,55245,13812,Mild,7174,1.0148737442302471,1.1499999999999999,4666,2057,1326,5763,0.75506805676223576,0.83021534055009183,0.81294964028776984,0.7369565217391304,0.77309007981755984,0.50841208146165684,0.5113048477756853,-0.000724008108890839,-0.00074389395221896581,0.012836789392015824,-0.0066197761108958142,0.0022808116243139276,-0.0018152048845729851,-0.00049232594424208909,91,101,6.4220183486238538,5.1635991820040905,6,6,6
M1-Interactions,55245,13812,None,0,1,1,4765,1958,1393,5696,0.75738488271068638,0.83170107219471556,0.80349837776837352,0.7441860465116279,0.77270569083632912,0.51337308945050664,0.51510986187825025,0.0015928178395597792,0.0007418376924047676,0.0033855268726195042,0.00060974866160168339,0.0018964226430832065,0.003145803104276812,0.0033126881583228629,24,2,1.6937191249117856,0.10224948875255625,7,7,7
