Scheme,Rows,Weighted_Rows,Minimum,Maximum,Mean
Mild,55245,7174,1,1.1499999999999999,1.0148737442302471
Balanced,55245,7174,1,1.25,1.023254593175853
High,55245,7174,1,1.3500000000000001,1.0316354421214589
