Model,Training_Samples,Test_Samples,Weight_Level,Weighted_Training_Samples,Mean_Training_Weight,Maximum_Training_Weight,TN,FP,FN,TP,Accuracy,AUC,Recall,Precision,F1,Kappa,MCC
Baseline,55245,13812,None,0,1,1,4767,1956,1417,5672,0.7557920648711266,0.8309592345023108,0.80011285089575401,0.74357629785002621,0.77080926819324591,0.51022728634622982,0.51179717371992739
M1-Interactions,55245,13812,None,0,1,1,4765,1958,1393,5696,0.75738488271068638,0.83170107219471556,0.80349837776837352,0.7441860465116279,0.77270569083632912,0.51337308945050664,0.51510986187825025
M2-Mild,55245,13812,Mild,7174,1.0148737442302471,1.1499999999999999,4666,2057,1326,5763,0.75506805676223576,0.83021534055009183,0.81294964028776984,0.7369565217391304,0.77309007981755984,0.50841208146165684,0.5113048477756853
M2-Balanced,55245,13812,Balanced,7174,1.023254593175853,1.25,4621,2102,1265,5824,0.75622646973646102,0.83023566185243791,0.82155452108901117,0.73479687105727987,0.77575757575757576,0.51053728256300823,0.51435898320007956
M2-High,55245,13812,High,7174,1.0316354421214589,1.3500000000000001,4567,2156,1240,5849,0.75412684622067772,0.82980765556859182,0.82508111158132313,0.73066833229231731,0.77500993772359883,0.50617125482444636,0.51072220778395572
M3-Mild,55245,13812,Mild,7174,1.0148737442302471,1.1499999999999999,4677,2046,1312,5777,0.75687807703446275,0.83121475625757113,0.81492453096346451,0.73846350504921388,0.77481223175965663,0.51203922565006543,0.51497686686362532
M3-Balanced,55245,13812,Balanced,7174,1.023254593175853,1.25,4613,2110,1245,5844,0.75709527946713007,0.83074918126763242,0.82437579348286072,0.73472466683429716,0.77697267832214323,0.51222911863088849,0.51632834862788812
M3-High,55245,13812,High,7174,1.0316354421214589,1.3500000000000001,4561,2162,1221,5868,0.75506805676223576,0.82994405063921672,0.82776132035548033,0.73075965130759646,0.77624181493485023,0.50801425328926919,0.51283905123461859
