mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
4.5106358528137207,0.11063324824622631,0.044961611429850258,0.00083996374177635908,100,5,0.10000000000000001,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1}",0.76419191661131269,0.76277316489226221,0.75344924860234908,0.76013811003530796,0.0047650718471023493,1,0.77632852702909261,0.77418530351437698,0.78028579462665204,0.77693320839004054,0.0025269517359782379
5.2588891188303633,0.071906548030142542,0.047729810078938804,0.00024228069991782849,200,3,0.10000000000000001,"{'n_estimators': 200, 'max_depth': 3, 'learning_rate': 0.1}",0.7637184949437914,0.76311492141253312,0.75190290063772891,0.75957877233135118,0.0054332513252270476,2,0.76457651391162029,0.76431226765799254,0.77061446215343621,0.76650108124101635,0.0029105994134810236
2.0497503280639648,0.015688755919916836,0.026065031687418621,0.00033847155998132961,50,5,0.10000000000000001,"{'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.1}",0.7632400347950673,0.76291390728476827,0.75242344976150177,0.75952579728044578,0.0050238826285474358,3,0.77018380197313074,0.77045245633745274,0.77379979570990809,0.77147868467349723,0.0016449338637928414
2.2286079724629722,0.050741891408869221,0.023995717366536457,0.00028951597381597925,50,5,0.20000000000000001,"{'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.2}",0.76511235092388796,0.76141872926767029,0.75135855634163851,0.75929654551106562,0.0058120257096974529,4,0.7756343102435036,0.77422326866970359,0.78060637073045924,0.77682131654788877,0.0027377284932943273
1.4255263805389404,0.005446292422899849,0.019911289215087891,0.001150716052499088,50,3,0.10000000000000001,"{'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.76203675187352427,0.76084401982322591,0.7515949783906154,0.75815858336245523,0.004666642983681973,5,0.75994674586512367,0.76027502693827287,0.76518125144308469,0.76180100808216045,0.0023939473678496618
12.333268642425537,0.034439831068384198,0.1388681729634603,0.0017021723248030777,200,7,0.01,"{'n_estimators': 200, 'max_depth': 7, 'learning_rate': 0.01}",0.76024946324506693,0.76068202577895061,0.75160084012089545,0.75751077638163766,0.0041826855440778455,6,0.77734733408094603,0.77615671070754477,0.78093104940314084,0.77814503139721058,0.0020290914635780889
5.8724188804626465,0.080821326398673191,0.056393225987752281,0.00066203175147029082,100,7,0.10000000000000001,"{'n_estimators': 100, 'max_depth': 7, 'learning_rate': 0.1}",0.75809251506177877,0.75972866833273833,0.74992297422203968,0.75591471920551889,0.0042891339717791082,7,0.80640554875560999,0.80414799641531176,0.80953356202959403,0.80669570240017185,0.0022082000361567985
2.9331004619598389,0.05632137555946834,0.030619303385416668,0.00024302907049071488,50,7,0.20000000000000001,"{'n_estimators': 50, 'max_depth': 7, 'learning_rate': 0.2}",0.75823219132483233,0.75740249132121706,0.74875327746645415,0.75479598670416781,0.0042862455772437677,8,0.80606755895474824,0.80398892534864641,0.8094226091409551,0.80649303114811666,0.0022386007280139342
11.734346310297648,0.049104929731581544,0.10574690500895183,0.0015692365105746933,200,7,0.10000000000000001,"{'n_estimators': 200, 'max_depth': 7, 'learning_rate': 0.1}",0.75328272466146906,0.75603655112563173,0.74486954728266475,0.7513962743565884,0.004750053667893152,9,0.83239045463896322,0.83116078573087948,0.8362106784341049,0.8332539729346492,0.0021501320833475415
1.402070124944051,0.040493026524256868,0.023520628611246746,0.00083440165808924144,50,3,0.01,"{'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.01}",0.75102407832950346,0.7458473453581983,0.73247525767909338,0.74311556045559846,0.0078150143290900611,10,0.74873583260680032,0.74151824667658983,0.74194042032238317,0.74406483320192451,0.0033073891240739269
