Model,Training_Samples,Test_Samples,Weight_Level,Weighted_Training_Samples,Mean_Training_Weight,Maximum_Training_Weight,TN,FP,FN,TP,Accuracy,AUC,Recall,Precision,F1,Kappa,MCC,Delta_Accuracy,Delta_AUC,Delta_Recall,Delta_Precision,Delta_F1,Delta_Kappa,Delta_MCC,FN_Reduction,FP_Increase,Relative_FN_Reduction_Percentage,Relative_FP_Increase_Percentage
Baseline,55245,13812,None,0,1,1,4767,1956,1417,5672,0.7557920648711266,0.8309592345023108,0.80011285089575401,0.74357629785002621,0.77080926819324591,0.51022728634622982,0.51179717371992739,0,0,0,0,0,0,0,0,0,0,0
M3-Balanced,55245,13812,Balanced,7174,1.023254593175853,1.25,4613,2110,1245,5844,0.75709527946713007,0.83074918126763242,0.82437579348286072,0.73472466683429716,0.77697267832214323,0.51222911863088849,0.51632834862788812,0.0013032145960034658,-0.00021005323467837567,0.024262942587106706,-0.0088516310157290556,0.0061634101288973175,0.0020018322846586667,0.0045311749079607333,172,154,12.138320395201131,7.8732106339468295
M3-High,55245,13812,High,7174,1.0316354421214589,1.3500000000000001,4561,2162,1221,5868,0.75506805676223576,0.82994405063921672,0.82776132035548033,0.73075965130759646,0.77624181493485023,0.50801425328926919,0.51283905123461859,-0.000724008108890839,-0.0010151838630940713,0.027648469459726321,-0.012816646542429755,0.0054325467416043161,-0.0022130330569606338,0.0010418775146912029,196,206,13.832039520112914,10.531697341513292
