Model,TN,FP,FN,TP,Accuracy,AUC,Recall,Precision,F1,Kappa,MCC,Brier
Baseline,4767,1956,1417,5672,0.7557920648711266,0.8309592345023108,0.800112850895754,0.7435762978500262,0.7708092681932459,0.5102272863462298,0.5117971737199274,0.16619385832910513
M3-Balanced,4613,2110,1245,5844,0.7570952794671301,0.8307491812676324,0.8243757934828607,0.7347246668342972,0.7769726783221432,0.5122291186308885,0.5163283486278881,0.1663106623044824
M3-High,4561,2162,1221,5868,0.7550680567622358,0.8299440506392167,0.8277613203554803,0.7307596513075965,0.7762418149348502,0.5080142532892692,0.5128390512346186,0.16681084837477855
Jose-LightGBM,4761,1962,1432,5657,0.7542716478424558,0.8306976383877017,0.7979968966003668,0.7424858905368159,0.7692412292629861,0.507195070252721,0.5087036122190746,0.16629704532384815
Pang-MARS,4807,1916,1473,5616,0.7546336518969012,0.8282201285720512,0.792213288192975,0.745618693574084,0.7682101087476917,0.5080857276927929,0.5091393852238123,0.16737957623695837
